Company Name,Ticker,EBITDA ,5 Yr Hist. Div. Growth %,Beta,Quick Ratio,PEG Ratio,% Change LT Growth Est. (4 weeks),S&P 500
AGILENT TECH,A,1120,,1.55,2.66,2.18,10.94,YES
ALCOA INC,AA,1790,0,1.77,0.7,2.96,0,YES
APPLE INC,AAPL,61429,,0.91,1.05,1.17,0,YES
ABBVIE INC,ABBV,6507,,1.74,2.43,2.27,-0.65,YES
AMERISOURCEBRGN,ABC,943.01,31.49099,0.64,0.48,1.69,0,YES
ABBOTT LABS,ABT,4397,-20.86001,0.37,1.74,1.87,0,YES
ACE LIMITED,ACE,4781,20.93899,0.86,0.34,1.21,0,YES
ACCENTURE PLC,ACN,4936.06103,33.611,1.19,1.46,1.74,0,YES
ACTAVIS PLC,ACT,934.79998,,0.31,0.8,1.05,7.1,YES
ADOBE SYSTEMS,ADBE,744.85998,,1.29,,5.46,0,YES
ANALOG DEVICES,ADI,952.83001,15.62899,1.15,4.86,1.72,0,YES
ARCHER DANIELS,ADM,3346,10.817,0.81,1.09,0.91,,YES
AUTOMATIC DATA,ADP,2711.30004,8.82689,0.85,1.08,3.01,0,YES
ALLIANCE DATA,ADS,1406.18994,,1.22,2.3,1.41,0,YES
AUTODESK INC,ADSK,408.79998,,1.95,2.65,11.4,-19.67,YES
ADT CORP,ADT,1644,,1.38,0.47,2.01,-4.71,YES
AMEREN CORP,AEE,1988,1.10969,0.38,0.59,2.19,0,YES
AMER ELEC PWR,AEP,4890,4.15869,0.37,0.47,3.4,0,YES
AES CORP,AES,2342,,1.11,0.92,2.84,-26.68,YES
AETNA INC-NEW,AET,3862.3999,119.164,1.02,0.4,1.29,-0.42,YES
AFLAC INC,AFL,5109,7.0882,1.51,0.05,1.5,-9.6,YES
ALLERGAN INC,AGN,2048.60009,0,0.75,4.05,1.86,2.08,YES
AMER INTL GRP,AIG,16223,,1.81,0.32,1.09,0,YES
APARTMENT INVT,AIV,566.48999,29.58699,0.88,0.56,2.77,1,YES
ASSURANT INC,AIZ,975.96002,14.50899,0.85,0.44,1.45,0,YES
AKAMAI TECH,AKAM,603.97998,,1.01,3.91,1.99,0,YES
ALLSTATE CORP,ALL,4131,8.02849,1,0.24,1.66,0,YES
ALLEGION PLC,ALLE,412.39999,,,1.56,,,YES
ALTERA CORP,ALTR,544.35998,31.655,1.25,5.21,1.81,0,YES
ALEXION PHARMA,ALXN,595.80999,,0.71,3.58,1.41,6.74,YES
APPLD MATLS INC,AMAT,1918,12.64,1.68,1.91,1.84,11.8,YES
AMETEK INC,AME,917.01,27.62,1.23,1.05,1.31,0,YES
AFFIL MANAGERS,AMG,1124.90002,,1.83,0.67,1.19,0,YES
AMGEN INC,AMGN,7573,30.96599,0.51,3.06,2.54,6.23,YES
AMERIPRISE FINL,AMP,3296,36.985,1.65,0.85,0.96,0,YES
AMER TOWER CORP,AMT,1807.77001,,0.19,1.39,2.47,-4.05,YES
AMAZON.COM INC,AMZN,3900,,1.07,0.75,,0,YES
AUTONATION INC,AN,847.09997,,0.99,0.27,1.07,0,YES
AON PLC,AON,2383,14.91399,0.99,1.48,1.32,0,YES
APACHE CORP,APA,10916,10.83399,1.43,1.16,8.74,270,YES
ANADARKO PETROL,APC,6719,22.17099,1.91,1.25,1.64,17.92,YES
AIR PRODS & CHE,APD,2436.5,11.97,1.22,0.87,1.9,0,YES
