Company Name,Ticker,% Ratio of Q1/Q0,% Change F1 Est. (4 weeks),Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Reported Qtr ,Last Yr's EPS (F0) Before NRI,Last Reported Fiscal Yr ,12 Mo Trailing EPS,Earnings ESP (Expected Surprise Prediction),% Change Q2 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),This Yr`s Est.d Growth (F(1)/F(0)),Last Yrs Growth (F[0] / F [-1]),% Change EPS (F(-1)/F(-2)),Long-Term Growth Consensus Est.,5 Yr. Hist. EPS Growth,Q0 Consensus Est. (last completed fiscal Qtr),Q2 Consensus Est. (next fiscal Qtr),Q1 Consensus Est. ,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,Average Target Price,% Rating Upgrades ,% Rating Strong Buy or Buy,% Price Change (YTD),% Price Change (12 Weeks),% Price Change (4 Weeks),% Price Change (1 Week),Beta,Price as a % of 52 Wk H-L Range,52 Week High,52 Week Low,Last Close,Avg Volume,Market Cap ,Relative Price Change,# of Brokers in Rating,# Rating Strong Buy or Buy,% Rating Strong Sell or Sell,% Rating Change - 4 Weeks,Industry Rank (of ABR),Rank in Industry (of ABR),Change in Avg Rec ,# Rating Upgrades,# Rating Downgrades ,% Rating Hold,% Rating Downgrades ,# Rating Strong Sell or Sell,# Rating Hold,Shares Outstanding ,% Ratio of Q1/prior Yr Q1 Actual Q(-3),% Change Q0 Est. (4 weeks),Long Term Debt ,Current Liabilities ,Current Assets ,Intangibles,Inventory ,Receivables ,Asset Utilization,Inventory Turnover,Operating Margin 12 Mo,Turnover,Net Margin,Preferred Equity,Common Equity,Book Value,% Change Q1 Est. (4 weeks),Current ROI (TTM),Current ROE (TTM),ROI (5 Yr Avg),Current Avg Broker Rec,Cash Ratio,Quick Ratio,Current Ratio,Debt/Equity Ratio,Debt/Total Capital,Dividend ,5 Yr Hist. Div. Growth %,Current ROA (TTM),Price/Sales,Price/Book,Price/Cash Flow,PEG Ratio,P/E (F2),P/E (F1),P/E (Trailing 12 Months),Q(1) Consensus Sales Est. (Mil.),F(1) Consensus Sales Est. (Mil.),5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),ROA (5 Yr Avg),Market Value/# Analysts,5 Yr Div. Yield %,Div. Yield %,12 Mo. Net Income Current-1Q/Last-1Q %,12 Mo. Net Income Current/Last %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,Pretax Income ,EBIT ,EBITDA ,Cost of Goods Sold,Annual Sales,
AGILENT TECH,A,114.58,-.46,5.41,0,3.38,.77999,.78,20140701,2.88,20131031,2.98,0,-1.32,-.98,10.82,6.38,-7.69,-26.23,10.2,24.35,.74,.78,.89,2.84,3.06,3.36,64,0,88.89,2.33,4.17,3.19,6.01,1.67,83.37,60.93,46.44,58.52,2120155.5,19502.44,-4.08,9,8,0,0,65,1,0,0,0,11.11,0,0,1,333.26,110.34,-.15,2699,1602,4983,3963,1066,899,.64534,3.0232,14.55,7.78539,.11,0,5289,16.92,-5.8,12.43,18.23,13.94799,1.22,1.88389,2.45,3.06,.39,27.88599,.46,,9.39,2.83,3.46,14.16,1.87,17.4,19.1,19.64,1834.24304,7008.05712,9.35,-1.11,9.40719,2437.80444,.46,.9,-29.61501,-26.23,-37.20729,1367,724,859,966,1338,3247,6782,
ALCOA INC,AA,98.15,3.67,38.46,80,42.11,.18,.18,20140601,.33,20131231,.42,22.22,3.14,9.4,0,85.61,37.5,-1925.58,7,-14.15,.13,.16,.18,.35,.61,.86,15.6,0,46.67,53.53,20.71,-1.81,.8,1.74,91.8,17.09,7.7,16.32,16221322,19131.68,43.92,15,7,6.67,0,25,36,0,0,0,46.67,0,1,7,1172.28,160.61,-.89,7607,6105,6969,3415,2705,1818,.62076,6.31209,2.09,11.39299,-.1,55,13467,12.5,3.92,2.13,3.26,1.28649,2.23,.40065,.7,1.26,.52,34.10699,.11999,0,1.3,.85,1.31,4.97,3.81,18.9,26.65,38.86,5647.52978,22618.35937,4.55,-2.82,.83306,1594.30627,1.11,.74,-1161.78858,-1925.58,-1296.33509,3510,-2285,-1816,-1363,1790,19286,23032,
AAC TECH HLDGS,AACAY,,0,15.94,,,.64999,.65,20140301,3.41,20131231,3.35,,0,0,0,.88,49.56,29.86,15,,.71,1.13,.95,3.53,3.44,4.1,,0,0,21.51,6.57,-4.95,-6.32,.62,69.65,68.45,38.93,59.49,312.4,7305.37,13.9,1,0,100,0,94,34,0,0,0,0,0,1,0,122.8,133.8,0,2.27999,432.89999,937.63,34.29999,134.36999,419.63,.80668,5.51749,31.46,3.50559,.32,0,1281.77001,10.44,0,34.85,34.91,,4,.88618,1.86,2.17,,.17756,.89471,39.19699,25.38,5.59,5.7,14.85,1.15,14.51,17.29,17.76,401.69,1483.20996,,31.99,,7305.37304,1.69,2.2,,29.86,49.06729,492.07199,415.54,458.05999,459.91,532.96997,749.35998,1316.07,
AMER AIRLINES,AAL,89.9,-2.1,2.06,8,,1.98,1.98,20140601,11.56,20131231,,0,-5.31,1.59,9.55,-53.37,,-282.29,35.55,,1.94,1.16,1.78,2.63,5.39,6.53,50.04,0,75,61.03,3.96,-4.28,7.08,,80.32,44.55,24.78,40.66,10974710,29283.17,50.95,12,9,0,0,126,10,0,0,0,25,0,0,3,720.2,,.64,15353,13806,14323,6397,1012,1560,.90211,26.993,7.03,20.63899,-.07,0,-2731,5.67,-3.39,20.17,,-121.464,1.58,.85115,.96,.99,3.72,78.819,0,,6.34,.82,7.17,13.58,.21,6.23,7.54,,11287.54687,43154.18359,9.21,7.6,-3.87801,3253.68579,,.98,-81.50808,-282.29,2.2388,2264,-1834,-2180,-1324,-304,19805,26743,
AARONS INC,AAN,101.54,-6.46,2.78,0,1.56,.37,.37,20140601,1.86,20131231,1.6,0,-9.58,-8.81,0,-9.14,-8.82,-36.35,14.75,8.86,.36,.41,.38,1.86,1.69,2.26,33.67,0,42.86,-12.28,-21.68,-9.38,1.14,1.36,7.25,35.9,25,25.79,887839.38,1862.84,-17.77,7,3,0,4.76,68,5,0,0,0,57.14,0,0,4,72.23,93.93,0,142.69999,544.5,1337.31994,242.71,869.71997,68.68,1.17929,.39188,5.06,35,.05,0,1139.95996,16.46,-18.32,8.23,10.02,11.93799,2.14,.73263,.86,2.28,.52,34.00899,.07199,13.951,5.97,.79,1.57,2.38,1.03,11.4,15.26,16.12,695.54699,2685.15209,6.89,.54,8.36369,266.11972,.25,.33,-29.32397,-36.35,-30.27046,827.50201,120.66,184.96,190.57,875.66998,361.89001,2234.63,
APPLIED OPTOELE,AAOI,163.89,-2.72,140,,,.11999,.12,20140601,-.1,20131231,.17,0,-22.68,2.54,0,696.67,9.09,216.83,19.67,,.05,.25,.2,.05,.6,1.48,28.4,0,100,25.85,.69,-15.37,3.51,,51.15,27.42,9.96,18.89,247894.59,279.29,17.98,5,5,0,0,69,1,0,0,0,0,0,0,0,14.78,393.34,0,8.92,39.04999,77.93,1.80999,19.6,22.07999,.82415,3.03539,2.18,4.642,-.02,0,63.06999,7.56,-7.81,2.6,4.25,,1,.92829,1.49,2.64,0,.05364,0,,1.8,2.74,2.5,97.81,1.61,12.76,31.66,111.12,36.09999,132.94999,,23.66,,93.09633,,0,,216.83,-48.93617,2.43899,-1.4,-1.4,-.28001,3.11999,55.38999,78.42,
AAON INC,AAON,,,7.69,,,.2,.2,20140601,.65,20131231,.7,,,,,,31.08,20.18,,11.03,.14,,,,,,,0,0,-10.24,-8.31,-9.56,.1,1.27,48.2,22.96,15.55,19.12,157370.05,1050.23,-15.85,1,0,0,0,,,0,0,0,100,0,0,1,54.93,,,0,36.31999,113.62,0,32.13999,40.13,1.4648,6.86689,11.9,7.11089,.12,0,164.1,3.23,,23.36,23.36,19.81399,3,1.13849,2.24,2.86,0,0,.11111,3.6716,17.43,3.17,5.91,21.49,,,,27.31,,,8.53,5.95,14.128,,1.18,.91,33.9984,20.18,36.80757,49.047,37.54,56.29,56.29,69.38999,231.33999,321.14,
ADVANCE AUTO PT,AAP,90.01,1.73,3.48,4.17,8.1,2.07999,2.08,20140601,5.67,20131231,6.75,0,2.58,1.45,6.31,36.19,8.62,11.98,18.69,16.74,2.01,1.49,1.87,5.44,7.72,8.6,143.58,0,43.75,20.46,8.19,3.72,6.45,.59,97.12,134.94,79.12,133.33,874353.31,9727.09,12.93,16,7,0,0,34,6,0,0,0,56.25,0,0,9,72.96,126.51,0,1052.66003,2764.78002,3989.37988,249.69999,2556.55004,277.58999,1.24979,1.35739,6.01,18.788,.06,0,1516.19995,24.87,-.14,16.63,30.66,23.06999,2.16,.41784,.52,1.25,.99,49.768,.23999,0,7.51,1.18,5.36,15.53,.92,15.5,17.27,19.75,2284.02001,9842.07128,5.93,4.65,9.5221,972.7091,.37,.18,11.10241,11.98,1.05243,625.25402,391.75,626.39001,663,870.78997,3241.65991,6493.81,
APPLE INC,AAPL,99.89,.16,4.92,13.81,6.71,1.27999,1.28,20140601,5.68,20130930,6.19,-.78,.81,.37,-.11,11.15,-9.96,2.14,12.9,40.94,1.22,2.31,1.28,5.63,6.31,6.93,108.27,0,77.14,23.73,13.02,5.56,3.3,.88,100,99.16,64.3,99.16,46202888,597934.81,15.98,35,27,0,-1.34,138,1,.02,0,0,22.86,0,0,8,6030,108.36,.21,16960,43658,73286,5756,1764,20641,.82791,60.06,21.64,9.0774,.22,0,123549,20.06,-3.92,26.85,31.2,34.618,1.6,1.16544,1.64,1.47,.24,19.357,1.6286,,17.92,3.36,4.94,14.4,1.22,14.3,15.71,16.02,39300.79687,180218.625,38.22,9.2,22.704,27178.85546,.86,1.9,-4.95312,2.14,-11.25249,43794,37037,50155,50155,56912,106606,170910,
AMER ASSETS TR,AAT,103.85,.63,2.63,0,1.96,.38999,.39,20140601,1.54,20131231,1.57,-2.44,-.81,-.15,4.57,3.9,14.07,-96.43,3.55,16.72,.38,.41,.41,1.53,1.6,1.7,37.5,0,60,12.41,3.09,-.31,.77,.96,93.51,35.77,28.99,35.33,161745.34,1481.56,5.37,5,3,0,0,212,10,0,0,0,40,0,0,2,41.94,103.85,0,93,994.40002,97.93,0,0,39.81999,.1376,,.53,6.5004,.09,0,686.57,17.59,-.41,.09,.19,.37141,1.9,.05843,.1,2.91,1.43,58.79399,.85,3.83629,.07,5.79,2.01,16.63,6.23,20.75,22.08,22.5,,262.38,21.63,8.32,.27496,370.39099,3.02,2.49,-77.59424,-96.43,-56.82397,85.91999,22.04999,22.59,80.61,151.30999,68.59999,255.06,
