Company Name,Ticker,F1 Consensus Est.,% Change LT Growth Est. (4 weeks),Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Yr's EPS (F0) Before NRI,Last Reported Fiscal Yr ,12 Mo Trailing EPS,Earnings ESP (Expected Surprise Prediction),% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),% Change Q2 Est. (4 weeks),St. Dev. F1 / F1 Consensus,F2 Consensus Est.,Beta,% Price Change (1 Week),% Price Change (12 Weeks),52 Week Low,Price as a % of 52 Wk H-L Range,% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),Rank in Industry (of ABR),Industry Rank (of ABR),% Price Change (YTD),Avg Volume,Shares Outstanding ,Average Target Price,Market Cap ,Q0 Consensus Est. (last completed fiscal Qtr),St. Dev. Q1 / Q1 Consensus,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,F0 Consensus Est.,Relative Price Change,% Price Change (4 Weeks),% Rating Change - 4 Weeks,% Rating Strong Sell or Sell,% Rating Hold,Exchange,% Rating Strong Buy or Buy,Current Avg Broker Rec,Last Close,52 Week High,% Rating Upgrades ,% Rating Downgrades ,Change in Avg Rec ,Long-Term Growth Consensus Est.,Annual Sales,Net Income ,Pretax Income ,EBIT ,Net Income Growth F(0)/F(-1),12 Mo. Net Income Current/Last %,Cash Flow ,12 Mo. Net Income Current-1Q/Last-1Q %,Div. Yield %,5 Yr Div. Yield %,5 Yr Hist. Div. Growth %,Dividend ,EBITDA ,Cost of Goods Sold,Current ROI (TTM),Last Yrs Growth (F[0] / F [-1]),P/E (Trailing 12 Months),P/E (F1),P/E (F2),Price/Cash Flow,PEG Ratio,Price/Book,Market Value/# Analysts,Current ROA (TTM),ROI (5 Yr Avg),ROA (5 Yr Avg),Current ROE (TTM),Net Margin,Operating Margin 12 Mo,Turnover,Cash Ratio,5 Yr. Hist. EPS Growth,% Ratio of Q1/prior Yr Q1 Actual Q(-3),This Yr`s Est.d Growth (F(1)/F(0)),Current Ratio,Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. (Mil.),Q(1) Consensus Sales Est. (Mil.),% Ratio of Q1/Q0,% Change EPS (F(-1)/F(-2)),Quick Ratio,Price/Sales,Debt/Equity Ratio,Inventory Turnover,Asset Utilization,Receivables ,Inventory ,Intangibles,Current Assets ,Current Liabilities ,Long Term Debt ,Preferred Equity,Common Equity,Book Value,Debt/Total Capital,# of Brokers in Rating,
AGILENT TECH,A,3.06,0,5.41,0,3.38,.77999,.78,2.88,20131031,2.98,0,.1,-.04,-.26,.00282,3.37,1.64,-1.61,-2.18,49.95,64.03,-.68,-.12,1,96,-.37,1576401.38,333.51,64,19003.57,.74,.01,.89,.78,.04,2.84,-7.12,-1.5,-18.18,0,22.22,NYSE,77.78,1.44,56.98,60.93,0,0,0,10.2,6782,724,859,966,-37.20729,-26.23,1367,-29.61501,.93,.46,,.46,1338,3247,12.43,-7.69,19.12,18.6,16.92,13.79,1.82,3.37,2111.50805,9.39,13.94799,9.40719,18.23,.11,14.55,7.78539,1.88389,24.35,110.29,6.36,3.06,-1.11,9.35,7008.35986,1831.42895,114.53,-26.23,2.45,2.76,.39,3.0232,.64534,899,1066,3963,4983,1602,2699,0,5289,16.92,27.88599,9,
ALCOA INC,AA,.62,0,38.46,80,42.11,.18,.18,.33,20131231,.42,,-.17,0,0,.14062,.9,1.74,-2.85,6.08,7.86,83.23,-4.16,0,35,29,47.69,16278040,1176.32,15.73,18468.27,.13,.21,.18,.16,.28,.35,37.68,-5.36,0,6.67,46.67,NYSE,46.67,2.23,15.7,17.28,0,0,0,7,23032,-2285,-1816,-1363,-1296.33509,-1925.58,3510,-1161.78858,.76,1.11,0,.11999,1790,19286,2.13,37.5,37.38,25.39,17.52,4.78,3.63,1.26,1420.63623,1.3,1.28649,.83306,3.26,-.1,2.09,11.39299,.40065,-14.15,160.61,87.41,1.26,-2.82,4.55,22745.35937,5664.85888,98.15,-1925.58,.7,.82,.52,6.31209,.62076,1818,2705,3415,6969,6105,7607,55,13467,12.5,34.10699,15,
AAC TECH HLDGS,AACAY,3.36,0,15.94,,,.64999,.65,3.41,20131231,3.35,,-.98,-2.33,1.77,,4.06,.61,-4.92,-12.59,38.93,60.53,0,-5.26,35,88,16.01,992,122.8,,6975.04,.71,,.9,1.15,,3.53,8.15,-8.16,0,100,0,OTC,0,4,56.8,68.45,0,0,0,15,1316.07,415.54,458.05999,459.91,49.06729,29.86,492.07199,,2.31,1.69,39.19699,.89471,532.96997,749.35998,34.85,49.56,16.95,16.91,13.99,14.18,1.13,5.44,6975.04003,25.38,,,34.91,.32,31.46,3.50559,.88618,,126.76,-1.47,2.17,31.99,,1491.45996,401.1,,29.86,1.86,5.33,,5.51749,.80668,419.63,134.36999,34.29999,937.63,432.89999,2.27999,0,1281.77001,10.44,.17756,1,
AMER AIRLINES,AAL,5.35,0,2.06,8,,1.98,1.98,11.56,20131231,,-2.29,3.37,-.67,-3.31,.0404,6.75,,-6.98,-19.45,24.78,53.36,1.4,-1.76,9,140,39.92,8574862,720.1,50.04,25441.24,1.94,.05,1.75,1.09,.13,2.63,30.44,-9.62,0,0,25,NSDQ,75,1.58,35.33,44.55,0,0,0,35.55,26743,-1834,-2180,-1324,2.2388,-282.29,2264,-81.50808,1.13,,,0,-304,19805,20.17,,,6.6,5.23,11.8,.19,6.23,3180.15527,6.34,-121.464,-3.87801,,-.07,7.03,20.63899,.85115,,,-53.69,.99,7.6,9.21,42958.19921,11215.42382,88.32,-282.29,.96,.72,3.72,26.993,.90211,1560,1012,6397,14323,13806,15353,0,-2731,5.67,78.819,12,
AARONS INC,AAN,1.69,0,2.78,0,1.56,.37,.37,1.86,20131231,1.6,,0,0,0,.02439,2.26,1.37,-2.59,-30.95,24.79,0,0,0,5,183,-15.68,714165.44,72.31,33.67,1792.59,.36,.03,.38,.41,.1,1.86,-21.4,-2.78,0,0,57.14,NYSE,42.86,2.14,24.79,35.9,0,0,0,14.75,2234.63,120.66,184.96,190.57,-30.27046,-36.35,827.50201,-29.32397,.34,.25,13.951,.07199,875.66998,361.89001,8.23,-8.82,15.49,14.67,10.96,2.28,.99,1.51,256.08428,5.97,11.93799,8.36369,10.02,.05,5.06,35,.73263,8.86,93.93,-9.14,2.28,.54,6.89,2685.15209,695.54699,101.54,-36.35,.86,.76,.52,.39188,1.17929,68.68,869.71997,242.71,1337.31994,544.5,142.69999,0,1139.95996,16.46,34.00899,7,
APPLIED OPTOELE,AAOI,.6,0,140,,,.11999,.12,-.1,20131231,.17,,0,0,0,.04217,1.48,,-4.31,-26.74,9.96,40.89,31.25,0,1,78,13.92,226002.55,14.81,28.4,253.17,.05,.08,.2,.25,.04,.05,6.2,-12.67,0,0,0,NSDQ,100,1,17.1,27.42,0,0,0,19.67,78.42,-1.4,-1.4,-.28001,-48.93617,216.69,2.43899,,0,,,0,3.11999,55.38999,2.6,9.09,100.59,28.66,11.55,88.54,1.46,2.26,84.38866,1.8,,,4.25,-.02,2.18,4.642,.92829,,393.34,696.67,2.64,23.66,,132.94999,36.09999,163.89,216.69,1.49,2.48,0,3.03539,.82415,22.07999,19.6,1.80999,77.93,39.04999,8.92,0,63.06999,7.56,.05364,5,
AAON INC,AAON,,,7.69,,,.2,.2,.65,20131231,.7,,,,,,,1.24,-3.62,-21.71,16.58,19.75,,,,,-16.24,168283.84,55.01,,981.41,.14,,,,,,-21.92,-4.45,0,0,100,NSDQ,0,3,17.84,22.96,0,0,0,,321.14,37.54,56.29,56.29,36.80757,20.18,49.047,33.9984,.97,1.18,3.6716,.11111,69.38999,231.33999,23.36,31.08,25.49,,,20.05,,5.51,,17.43,19.81399,14.128,23.36,.12,11.9,7.11089,1.13849,11.03,,,2.86,5.95,8.53,,,,20.18,2.24,2.96,0,6.86689,1.4648,40.13,32.13999,0,113.62,36.31999,0,0,164.1,3.23,0,1,
ADVANCE AUTO PT,AAP,7.71,0,3.48,4.17,8.1,2.07999,2.08,5.67,20131231,6.75,2.67,.53,-.18,-.28,.00754,8.65,.65,-4.65,-4.02,79.79,84.31,1.5,.23,6,31,16.66,583687.31,72.96,146.38,9419.95,2.01,.03,1.87,1.5,.04,5.44,8.75,-5.1,3.16,0,52.94,NYSE,47.06,2.09,129.12,138.3,0,0,0,18.69,6493.81,391.75,626.39001,663,1.05243,11.98,625.25402,11.10241,.19,.37,0,.23999,870.78997,3241.65991,16.63,8.62,19.13,16.75,14.92,15.04,.9,5.19,724.61145,7.51,23.06999,9.5221,30.66,.06,6.01,18.788,.41784,16.74,126.01,35.94,1.25,4.65,5.93,9858.4707,2286.59008,89.66,11.98,.52,1.14,.99,1.35739,1.24979,277.58999,2556.55004,249.69999,3989.37988,2764.78002,1052.66003,0,1516.19995,24.87,49.768,17,
APPLE INC,AAPL,6.31,-1.03,4.92,13.81,6.71,1.27999,1.28,5.68,20130930,6.19,1.57,1.49,-.02,1.08,.00598,7.04,.89,1.76,9.75,66.77,98.19,-.21,-.07,1,135,28.07,68284848,5987.87,112.13,614594.69,1.22,.03,1.27,2.34,.05,5.63,19.39,1.74,5.3,0,18.18,NSDQ,81.82,1.52,102.64,103.3,0,0,-.04,12.77,170910,37037,50155,50155,-11.25249,2.14,43794,-4.95312,1.83,.86,,1.6286,56912,106606,26.85,-9.96,16.58,16.27,14.59,14.9,1.27,5.12,30729.73437,17.92,34.618,22.704,31.2,.22,21.64,9.0774,1.16544,40.94,107.87,11.09,1.47,9.2,38.22,180299.625,39378.90625,99.45,2.14,1.64,3.45,.24,60.06,.82791,20641,1764,5756,73286,43658,16960,0,123549,20.06,19.357,33,
AMER ASSETS TR,AAT,1.6,0,2.63,0,1.96,.38999,.39,1.54,20131231,1.57,,0,0,0,.0051,1.7,.95,-1.25,-4.9,30.51,51.33,2.63,0,9,214,5.66,136205.66,42.62,37.5,1415.24,.38,.03,.41,.41,.04,1.53,-1.5,-4.79,0,0,40,NYSE,60,1.9,33.21,35.77,0,0,0,3.55,255.06,22.04999,22.59,80.61,-56.82397,-96.43,85.91999,-77.59424,2.65,3.02,3.83629,.85,151.30999,68.59999,.08,14.07,21.15,20.76,19.51,15.63,5.86,1.89,353.811,.07,.3443,.27496,.19,.09,.53,6.5004,1.37636,16.72,103.85,3.9,2.91,8.32,21.63,258.04501,,103.85,-96.43,2.32,5.53,1.43,,.1376,39.81999,0,0,97.93,42.22,1045.17004,0,686.57,17.59,58.79399,5,
