Company Name,Ticker,Q(1) Consensus Sales Est. (Mil.),% Change F1 Est. (4 weeks),% Change Q2 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q0 Est. (4 weeks),Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Yr's EPS (F0) Before NRI,12 Mo Trailing EPS,% Rating Downgrades ,% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),St. Dev. F1 / F1 Consensus,5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),% Ratio of Q1/prior Yr Q1 Actual Q(-3),% Ratio of Q1/Q0,This Yr`s Est.d Growth (F(1)/F(0)),Last Yrs Growth (F[0] / F [-1]),F0 Consensus Est.,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q1 / Q1 Consensus,Earnings ESP (Expected Surprise Prediction),F2 Consensus Est.,F1 Consensus Est.,% Rating Upgrades ,% Rating Hold,Beta,% Price Change (12 Weeks),% Price Change (4 Weeks),Last Close,52 Week High,52 Week Low,Price as a % of 52 Wk H-L Range,Shares Outstanding ,Avg Volume,Market Cap ,Sector,Optionable,Industry,Average Target Price,# of Brokers in Rating,Change in Avg Rec ,Rank in Industry (of ABR),% Rating Change - 4 Weeks,Industry Rank (of ABR),Current Avg Broker Rec,% Rating Strong Sell or Sell,# Rating Hold,# Rating Strong Sell or Sell,# Rating Downgrades ,# Rating Upgrades,# Rating Strong Buy or Buy,% Rating Strong Buy or Buy,Exchange,F(1) Consensus Sales Est. (Mil.),% Price Change (1 Week),Common Equity,Intangibles,Preferred Equity,Long Term Debt ,Current Assets ,Inventory ,Receivables ,Operating Margin 12 Mo,Net Margin,Inventory Turnover,Asset Utilization,5 Yr Hist. Div. Growth %,Book Value,Current Liabilities ,Relative Price Change,Q0 Consensus Est. (last completed fiscal Qtr),Q1 Consensus Est. ,Cost of Goods Sold,EBITDA ,Current Ratio,Debt/Total Capital,Debt/Equity Ratio,Quick Ratio,Cash Ratio,Turnover,Dividend ,5 Yr Div. Yield %,Current ROA (TTM),ROA (5 Yr Avg),ROI (5 Yr Avg),P/E (F1),Current ROI (TTM),Current ROE (TTM),St. Dev. Q2 / Q2 Consensus,Price/Cash Flow,P/E (F2),Price/Sales,Price/Book,P/E (Trailing 12 Months),Market Value/# Analysts,Long-Term Growth Consensus Est.,Div. Yield %,12 Mo. Net Income Current-1Q/Last-1Q %,12 Mo. Net Income Current/Last %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,EBIT ,Pretax Income ,% Price Change (YTD),Annual Sales,PEG Ratio,5 Yr. Hist. EPS Growth,% Change EPS (F(-1)/F(-2)),S&P 500,
AGILENT TECH,A,1365.5,-19.47,-17.78,-18.8,-4.98,5.41,0,3.38,.77999,.78,2.88,2.98,0,-11.23,-1.97,.29717,9.35,-1.11,78.4,,-7.19,-7.69,2.91,.68,.25,-10.59,3.43,2.7,0,44.44,1.59,-25.62,-24.82,41.37,60.93,40.13,5.96,333.51,3110899.25,13797.43,Computer and Technology,YES,ELEC TEST EQUIPTMENT,60.25,9,.44,1,-30.77,73,1.89,0,4,0,0,0,5,55.56,NYSE,6374.19287,-23.84,5289,3963,0,2699,4983,1066,899,14.55,,3.0232,.64534,,16.92,1602,-34.17,.85,.63,3247,1338,3.06,27.88599,,,,7.78539,.52799,.51,9.39,9.6927,14.37899,15.33,12.43,18.23,.27,10.01,12.07,2,2.44,13.88,1724.67919,10,1.28,,-26.23,-37.20729,1367,724,966,859,-27.66,6782,1.53,24.35,-26.23,YES,
ALCOA INC,AA,5876.52685,22.36,13.28,25.73,0,47.62,38.46,33.19,.31,.31,.33,.62,0,13.91,0,.04283,3.56,-2.82,590.9,76.25,149.86,37.5,.35,.29,.15,0,1.1,.82,0,33.33,1.72,.86,6.37,16.37,17.28,8.92,89.11,1178.82,22637364,19297.33,Basic Materials,YES,MINING -NON FERR,17.42,15,-.13,35,6.35,39,1.97,6.67,5,1,0,0,9,60,NYSE,23347.70703,.92,13467,3415,55,7607,6969,2705,1818,3.13,-.1,6.21969,.63861,0,12.79,6105,40.13,.21,.24,19286,1790,1.81,36.75799,.58,.7,.40065,11.118,.11999,1.1,2,1.05309,1.6345,19.85,3.24,5.04,.28,4.99,14.85,.83,1.28,26.4,1754.3031,7,.73,-1925.58143,-853.38,-1296.33509,3510,-2285,-1363,-1816,54,23032,2.84,-9.2,-853.38,YES,
APPLE INC,AAPL,65582.64062,4.61,4.67,4.02,.69,9.23,4.92,7.81,1.41999,1.42,6.45,6.43,0,3.14,5.82,.05198,34.29,6.95,119.33,174.06,16.41,13.58,6.33,1.92,.05,1.21,8.37,7.51,0,18.18,.89,11.49,7.6,108.7,109.4,71.4,98.16,5864.84,58494816,637508.13,Computer and Technology,YES,COMP-MINI,117.24,33,0,1,4.93,170,1.52,0,6,0,0,0,27,81.82,NSDQ,209769.51562,1.61,111547,8758,0,28987,68531,2111,27219,21.61,.22,58.651,.82569,,19.02,63448,23.42,1.3,2.47,112258,61429,1.08,20.62599,.26,1.05,.61784,8.5942,1.8114,.96,17.85,22.69,34.421,14.48,27.52,32.76,.06,13.43,12.98,3.49,5.72,16.9,27717.74414,12.81,1.73,2.13786,6.68,6.6771,47456,39510,53483,53483,35.63,182795,1.13,35.65,6.68,YES,
ABBVIE INC,ABBV,5388.16503,4.39,1.23,-2.86,.22,14.1,7.89,6.67,.88999,.89,3.14,3.25,0,4.95,12.96,.01354,3.92,2.23,103.66,95.51,4.87,-6.27,3.15,.82,.04,0,4.17,3.29,0,22.22,1.7,15.72,10.56,62.71,63.46,46.46,95.59,1591.7,21402748,99815.45,Medical,YES,LARGE CAP PHARMA,66.86,9,0,9,4.54,66,1.5,0,2,0,0,0,7,77.78,NYSE,19948.32031,2.5,4492,8167,0,14292,17848,1150,4803,26.78,.22,4.1693,.67729,,3.28,6879,8.06,.78,.85,4581,6507,2.82,73.497,,2.43,1.72917,4.45749,1.6,,18.14,26.32999,41.18299,19.04,27.39,109.4,,16.73,15.05,5.09,19.11,19.3,14259.3496,9.24,2.68,-19.20171,-18.24,-21.74408,5963,4128,5610,5332,18.75,18790,2.06,15.52,-18.24,YES,
AMERISOURCEBRGN,ABC,31433.51953,2.67,-1.04,-.87,-.16,4.76,9.78,5.45,1.1,1.1,3.97,3.97,0,.8,-14.82,.0137,7.83,35.94,118.33,86.06,12.7,26.43,3.91,1.19,.02,0,5.05,4.47,0,42.86,.67,14.07,13.21,87.4,88.19,62.83,96.89,224.38,2404103,19610.9,Medical,YES,MED/DENTAL-SUPP,88.07,14,0,19,-3.57,97,2.07,0,6,0,0,0,8,57.14,NYSE,127648.82812,3.02,1956.89001,3499.70996,0,1995.63,16800.21093,8593.8496,6312.87988,.78,0,13.67099,5.80999,31.49099,8.72,17250.16015,13.12,1.05,.95,116586.79687,1069.13,.97,50.49,1.02,.48,.10976,19.00399,.93999,1.3,4.5,4.49149,17.493,19.53,24.52,44.48,.03,17.69,17.31,.16,10.02,22.01,1961.09008,11.99,1.08,-52.45049,-36.25,-36.25087,1108.651,276.48001,750.28002,673.41998,24.31,119569.1,1.63,14.33,-36.25,YES,
ABBOTT LABS,ABT,5662.06396,-11.14,-12.62,-13.09,-.17,3.33,5.88,6.59,.62,.62,2.01,2.15,0,-6.57,-5.7,.05575,-8.49,-45.21,105.39,98.59,-.31,-60.36,2.01,.45,.05,0,2.32,2,0,29.41,.4,3.21,4.95,43.69,43.69,35.85,100,1503.7,5453744,65696.61,Medical,YES,LARGE CAP PHARMA,47.08,17,-.05,6,2.7,66,1.79,0,5,0,0,0,12,70.59,NYSE,20784.44335,.46,25267,15507,0,3388,19247,2693,3986,15.46,.12,3.5892,.51282,-20.86001,15.78,9507,3.72,.6,.61,10040,4397,1.85,12.55399,,1.74,1.32197,5.42239,.56,2.85,7.93,10.927,17.57999,21.8,12.1,13.8,.06,13.76,18.81,3.05,2.77,20.32,8212.07617,10.48,2.01,-40.33865,-35.24,-56.80028,4908,2576,2678,2521,13.98,21848,2.08,-12.42,-35.24,YES,
ACE LIMITED,ACE,4563.81982,3.87,-.62,.05,3.21,10.46,7.08,10.9,2.64,2.64,9.35,9.72,0,.13,0,.011,6.88,4.91,92.33,83.59,1.83,22.22,8.96,2.27,.05,0,9.34,9.52,0,21.43,.8,7.21,5.54,110.73,110.73,92.19,100,331.74,1521423.63,36733.35,Finance,YES,INS-PROP&CASLTY,114.31,14,-.09,15,4.99,197,1.68,0,3,0,0,0,11,78.57,NYSE,18116.01757,1.62,28825,5404,0,3807,20375,0,18033,16.82,.2,,.20509,20.93899,90.38,59936,-2.67,2.39,2.21,12522,4781,.35,11.906,.14,.34,.03907,1.11,1.50999,2.28,3.45,3.15179,9.95709,11.63,9.88,11.19,.02,10.81,11.86,1.86,1.23,11.39,3339.3955,10,2.35,5.4786,-6.5,38.87657,3485,3758,4513,4238,6.95,18742,1.16,4.89,-6.5,YES,
ACCENTURE PLC,ACN,7704.16113,.07,-.08,-.32,-.04,-1.82,4.13,1.71,1.08,1.08,4.52,4.52,0,.24,-2.38,.00513,7.91,4.87,104.22,110.97,6.86,7.36,4.53,1.09,.02,-.83,5.27,4.83,0,47.06,1.2,5.01,6.46,83.24,85.4,73.36,82.06,631.24,3096175.5,52544.58,Business Services,YES,CONSULTING,85.42,17,0,,0,,2.06,0,8,0,0,0,9,52.94,NYSE,31216.92187,3.25,6285.33007,2395.88989,0,26.39999,11904.44042,0,5663.33007,9.51,.09,,1.8514,33.611,9.96,8158.06982,-7.87,1.1,1.2,22190.21093,4936.06103,1.46,.41826,0,1.46,.76502,5.7627,1.86,1.98,17.6,15.97299,53.291,17.23,50.29,50.51,.03,14.75,15.8,1.67,8.36,18.42,3502.97216,10.25,2.45,-7.36332,-9.07,-10.37153,3562.23803,2941.48999,4315.31982,4297.70019,1.24,31874.68,1.68,13.96,-9.07,YES,
ACTAVIS PLC,ACT,3700.37207,1.83,3.98,2.22,.43,2.24,1.48,3.35,3.19,3.19,9.5,13.27,0,.67,0,.00274,32.32,46.71,109.39,108.71,42.77,58.33,9.39,3.79,.03,0,16.53,13.56,0,6.25,.31,17.75,3.34,250.38,250.38,154.41,100,264.26,2496365.75,66165.67,Medical,YES,MED-GENERIC DRG,273.62,16,0,9,0,15,1.16,0,1,0,0,0,15,93.75,NYSE,12556.08203,2.95,9537.0996,16432.0996,0,8517.40039,4434.70019,1786.30004,1404.90002,20.22,-.09,3.0583,.47843,,55.5,3294.8999,35.62,3.12,3.47,4690.70019,934.79998,1.4,52.589,.52,.8,.3774,6.9189,0,0,8.42,8.38759,11.621,18.46,12.4,18.05,.02,16.11,15.15,5.61,2.27,18.87,11027.6123,17.18,0,111.08544,-82.23,-871.22303,2705.69995,-750.40003,-398.60001,-638.40003,49.04,8677.6,1.07,38.18,-82.23,YES,
ADOBE SYSTEMS,ADBE,1058.12695,0,0,0,,7.69,43.75,19.88,.14,.14,.84,.71,0,0,0,.08512,5.97,-7.91,92.59,119.05,-18.15,-54.35,.83,.28,.03,,1.41,.69,0,30.77,1.28,2.93,9.81,72.1,73.57,53.17,92.79,497.38,3596383.25,35860.74,Computer and Technology,YES,COMP-SOFTWARE,78.64,13,0,49,0,53,1.62,0,4,0,0,0,9,69.23,NSDQ,4134.72314,5.15,6724.62988,5377.22998,0,1499.29003,4045.91992,0,599.82,8.84,.07,,.39673,,13.53,1525.64001,9.57,.13,.17,586.54998,744.85998,1.91,11.81499,.13,2.65,2.25878,7.5854,0,0,3.51,8.45269,10.295,104.87,4.71,5.45,.12,47.63,50.95,8.71,5.33,101.55,8965.18457,9.33,0,-49.78448,-45.06,-65.17887,756.695,289.98001,423.64001,356.14001,20.41,4055.24,11.24,-10.28,-45.06,YES,
