Company Name,Ticker,% Ratio of Q1/prior Yr Q1 Actual Q(-3),Price/Book,Price/Sales,Current ROE (TTM),Current ROI (TTM),ROI (5 Yr Avg),Current ROA (TTM),ROA (5 Yr Avg),Market Value/# Analysts,Annual Sales,Cost of Goods Sold,EBITDA ,Price/Cash Flow,PEG Ratio,P/E (F2),% Ratio of Q1/Q0,This Yr`s Est.d Growth (F(1)/F(0)),Last Yrs Growth (F[0] / F [-1]),% Change EPS (F(-1)/F(-2)),Long-Term Growth Consensus Est.,5 Yr. Hist. EPS Growth,Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. (Mil.),Q(1) Consensus Sales Est. (Mil.),P/E (Trailing 12 Months),EBIT ,Pretax Income ,Preferred Equity,Current Liabilities ,Long Term Debt ,Current Assets ,Intangibles,Inventory ,Receivables ,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Book Value,Asset Utilization,Inventory Turnover,Net Income ,Cash Flow ,Net Income Growth F(0)/F(-1),12 Mo. Net Income Current/Last %,12 Mo. Net Income Current-1Q/Last-1Q %,5 Yr Div. Yield %,5 Yr Hist. Div. Growth %,Dividend ,Net Margin,Operating Margin 12 Mo,Turnover,Cash Ratio,Rank in Industry (of ABR),% Price Change (YTD),% Price Change (4 Weeks),% Price Change (1 Week),Beta,Price as a % of 52 Wk H-L Range,Last Close,Current Avg Broker Rec,% Rating Strong Buy or Buy,% Rating Strong Sell or Sell,Industry Rank (of ABR),52 Week Low,% Price Change (12 Weeks),Relative Price Change,Q0 Consensus Est. (last completed fiscal Qtr),52 Week High,Market Cap ,Last EPS Surprise (%),P/E (F1),% Rating Change - 4 Weeks,% Change F1 Est. (4 weeks),Div. Yield %,Avg Volume,Shares Outstanding ,Change in Avg Rec ,% Rating Hold,% Change Q2 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),Q1 Consensus Est. ,St. Dev. Q1 / Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,F0 Consensus Est.,F1 Consensus Est.,St. Dev. F1 / F1 Consensus,% Change Q0 Est. (4 weeks),12 Mo Trailing EPS,Last Reported Fiscal Yr ,% Rating Upgrades ,% Rating Downgrades ,Common Equity,Average Target Price,Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Reported Qtr ,Last Yr's EPS (F0) Before NRI,F2 Consensus Est.,Exchange,
AMER AIRLINES,AAL,,6.85,,,,,,,3108.84619,26743,9099,-304,12.97,.2,5.88,90.91,-52.8,,,35.55,,7.6,,43154.18359,11287.54687,,-1324,-2180,0,13806,15353,14323,6397,1012,1560,78.819,3.72,.99,.96,5.67,,26.97299,-1834,2264,2.2388,,,,,0,-.07,,,.85115,10,53.86,-6.66,-7.85,,71.17,38.85,1.58,75,0,119,24.78,1.57,47.3,1.94,44.55,27979.62,2.06,7.12,3.24,3.37,1.03,11403745,720.2,0,25,.21,2.35,6.49,13.29,1.8,.07,1.18,.17,2.63,5.46,.06528,6.15,,20131231,0,0,-2731,50.38,8,,1.98,1.98,20140601,11.56,6.6,NSDQ,
APPLIED OPTOELE,AAOI,,2.35,,,,,,,88.70999,78.42,55.38999,3.11999,93.2,1.49,12.47,,713.33,9.09,,19.67,,23.66,,131.27499,36.867,,-.28001,-1.4,0,39.04999,8.92,77.93,1.80999,19.6,22.07999,3.3903,,2.87,1.49,7.68,,4.61329,-1.4,2.43899,-48.93617,,,,,0,-.02,,,.92829,1,19.92,-22.58,-15.49,,46.05,18,1,100,0,69,9.96,-5.26,14.81,.05,27.42,266.13,-160,29.35,0,0,0,195037.95,14.78,0,0,0,0,0,0,.21,.07,.32,.18,.05,.61,.09827,0,,20131231,0,0,63.06999,28,,,.02999,.03,20140301,-.1,1.44,NSDQ,
AAON INC,AAON,,6.26,3.26,24.73,24.73,19.627,18.17,13.954,,321.14,231.33999,69.38999,22.05,,,,,31.08,34,,7.26,5.95,7.35,,,27.25,56.29,56.29,0,36.31999,0,113.62,0,32.13999,40.13,0,,3.3,2.24,3.13,1.4937,6.9671,37.54,49.047,36.80757,34,,1.18,3.6716,.11111,.12,12.17,7.17959,1.13849,,-7.89,-14.55,-5.13,1.27,61.55,19.62,3,0,0,,14.27,-2.55,-11.81,.14,22.96,1077.7,7.69,,0,,.88,145867.33,54.93,0,100,,,,,,,,,,,,,.72,20131231,0,0,164.1,,,,.17333,.17,20140301,.65,,NSDQ,
APPLE INC,AAPL,108.81,4.77,3.24,31.2,26.85,34.618,17.92,22.704,25063.82617,170910,106606,56912,13.88,1.17,13.71,100.3,11.16,-9.96,2.14,12.9,40.94,9.2,38.22,180288.42187,39304.00781,15.44,50155,50155,0,43658,16960,73286,5756,1764,20641,19.357,.24,1.47,1.64,20.06,.82791,60.06,37037,43794,-11.25249,2.14,-4.95312,.86,,1.6286,.22,21.64,9.0774,1.16544,1,19.28,1.67,-1.47,.88,90.15,95.6,1.58,77.78,0,111,64.3,13.81,14.2,1.22,99.02,576468,4.92,15.15,2.96,.27,1.97,47291464,6030,0,22.22,1.29,-3.25,1.14,.78,1.28,.04,2.32,.05,5.63,6.31,.00703,.82,6.19,20130930,0,0,123549,106.83,13.81,6.71,1.27999,1.28,20140601,5.68,6.97,NSDQ,
ATLAS AIR WORLD,AAWW,71.39,.64,.5,7.39,3.57,6.59999,2.5,5.0198,287.81301,1656.9,410.35,291.89999,4.52,,10.11,128.04,-17.11,-20.92,-27.81,,.76,.66,10.02,1648.11499,408.70001,8.84,199.11999,117.81999,0,417.14001,1539.13,593.95001,33.84999,0,132.14999,59.214,1.38,1.12,1.42,52.92,.45149,,93.83,189.55499,-27.77864,-27.81,-40.43712,0,,0,.06,6.07,13.168,1.10706,7,-16.84,-9.09,-4.44,1.78,20.96,34.22,2.45,33.33,16.67,129,30.13,-4.36,-20.39,.5,49.64,863.44,26,10.92,0,0,0,228176.16,25.23,0,50,0,0,0,,.81,.07,1.38,.05,3.5,3.13,.04015,0,3.87,20131231,0,0,1322.11999,35.4,246.15,73.33,.62999,.63,20140601,3.78,3.38,NSDQ,
ABAXIS INC,ABAX,122.22,5.4,6.04,8.22,8.2,9.0677,7.26,8.02159,212.9468,171.87,88.76,29.88999,47.65,3.02,42.81,104.76,49.52,-48.78,-43.68,16.67,6.89,-7.61,10.76,200.488,49.97299,67.73,21.94,21.94,0,16.86,.57999,165.41,1.62,26.96999,28.82999,.27827,0,7.46,8.21,8.78,.81646,3.2392,14.18,22.135,-48.34245,-43.68,-48.34116,.01,,0,.08,8.9,5.6085,6.50118,74,18.49,5.08,12.67,.98,97.03,47.41,3,0,0,26,32.4,18.73,13.44,.19,47.87,1064.73,10.53,50.33,6.25,4.96,.21,222542.16,22.46,-.2,100,-5.56,3.13,.68,-9.09,.22,.04,.23,.07,.66,.94,.09506,0,.7,20140331,0,0,193.91,44.17,-15,-12.71,.20999,.21,20140601,.63,1.11,NSDQ,
AMERIS BANCORP,ABCB,170.19,1.83,2.86,9.92,6.4,2.2962,.85,.27281,137.43374,172.87,8.39999,37.38,17.42,,10.98,138.28,82.22,210.34,32.35,,50.66,-7.73,2.94,214.033,57.83,20.04,31.03,29.29999,28,3082.73999,250.02999,2770.28002,41.04999,67.26999,2435.06005,27.76099,,.88,.88,11.92,.05785,.13313,20.01,29.96999,38.66943,32.35,60.80112,.18,,0,.12,14.63,.08201,.08691,17,3.46,-2.59,3.7,1.11,65.77,21.84,1.6,80,0,149,17.69,8.12,-.95,.4,24,549.73,-20,13.32,20,1.08,.92,58092.9,25.17,-.15,20,-2.06,-3.8,-2.21,,.44,.03,.47,.05,1,1.64,.0217,0,1.09,20131231,0,0,288.69,26.8,-3.03,-16.38,.31999,.32,20140601,.9,1.99,NSDQ,
ADVISORY BOARD,ABCO,93.04,5.38,3.4,10.19,10.71,15.21399,3.23,4.63119,367.04479,520.6,272.51998,82.97,27.14,3.2,46,101.9,-1.1,-8.08,-18.77,17.4,15.39,15.47,21.52,597.70001,147.13699,56.98,49.88999,49.88999,0,566.10998,0,506.20001,163.16999,0,447.89001,.02965,,.89,.89,9.33,.52594,,24.75,66.78099,5.76923,-18.77,11.68614,0,,0,.05,6.47,1.23409,.103,,-21.25,-4,-3.09,-.16,12.84,50.14,1.62,76.92,0,,47.28,-2.2,-24.61,.19,69.55,1835.22,10.53,55.71,0,0,0,188857.5,36.6,0,23.08,0,0,0,0,.21,.06,.22,.11,.87,.9,.05555,0,.88,20140331,0,0,337.04998,66.2,13.04,1.35,.20999,.21,20140601,.91,1.09,NSDQ,
ALCENTRA CAPITL,ABDC,,,,,,,,,44.43724,,,,,,9.56,,,,,,,,,16.867,5.91029,,,,,,,,,,,0,,.32,,,,,,,,,,,,0,,,,,20,,-12.33,-4.64,,0,13.15,2,50,0,142,13.15,,,.25,15.05,177.75,,14.22,11.11,0,5.41,85516.2,13.52,0,50,0,0,0,,.34,.04,.34,0,,.93,.11251,0,,20131231,0,0,,15.25,,,,,,,1.38,NSDQ,
ARCA BIOPHARMA,ABIO,23.08,1.39,,-43.77,-43.77,-76.976,-41.49,-66.26101,15.022,,0,-6.90601,,,,,43.32,55.7,-107.67,,,,,,,,-6.92601,-6.93,0,1.5,0,16.92,0,0,0,0,,19.46,11.28,1.03,,,-6.93,-6.91,-60.41666,-107.67,,0,,0,,,,11.27999,34,-14.89,-11.19,-.7,2.28,12.62,1.4299,1,100,0,12,1.31,-1.39,-18.52,-.13,2.26,30.04,-8.33,,0,-9.28,0,165146.7,21.01,0,0,0,0,-2.83,,-.15,,-.16,,-.94,-.53,-.10674,0,-1.46,20131231,0,0,15.57999,3.38,,,-.13,-.13,20140301,-1.94,-.55,NSDQ,
