Company Name,Ticker,Net Income ,Intangibles,Inventory ,Receivables ,Asset Utilization,Inventory Turnover,Turnover,Operating Margin 12 Mo,Net Margin,Price/Sales,Current Assets ,Current Liabilities ,Pretax Income ,EBIT ,EBITDA ,Cost of Goods Sold,Annual Sales,Book Value,Common Equity,Preferred Equity,Long Term Debt ,Price/Book,Price/Cash Flow,PEG Ratio,% Rating Change - 4 Weeks,Current Avg Broker Rec,% Rating Strong Buy or Buy,% Rating Strong Sell or Sell,Industry Rank (of ABR),Rank in Industry (of ABR),Change in Avg Rec ,% Rating Hold,% Rating Upgrades ,% Change LT Growth Est. (4 weeks),% Change F1 Est. (4 weeks),P/E (F2),P/E (F1),P/E (Trailing 12 Months),Q(1) Consensus Sales Est. (Mil.),F(1) Consensus Sales Est. (Mil.),5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),% Change Q0 Est. (4 weeks),% Change F2 Est. (4 weeks),% Rating Downgrades ,Beta,Market Value/# Analysts,ROA (5 Yr Avg),Current ROA (TTM),ROI (5 Yr Avg),Current ROI (TTM),Current ROE (TTM),5 Yr. Hist. EPS Growth,Long-Term Growth Consensus Est.,Relative Price Change,% Price Change (YTD),% Price Change (12 Weeks),52 Week Low,Q1 Consensus Est. ,Last Close,52 Week High,Price as a % of 52 Wk H-L Range,% Price Change (1 Week),% Price Change (4 Weeks),% Change EPS (F(-1)/F(-2)),Last Yrs Growth (F[0] / F [-1]),This Yr`s Est.d Growth (F(1)/F(0)),F2 Consensus Est.,Dividend ,Div. Yield %,5 Yr Hist. Div. Growth %,5 Yr Div. Yield %,12 Mo. Net Income Current-1Q/Last-1Q %,12 Mo. Net Income Current/Last %,Net Income Growth F(0)/F(-1),St. Dev. F1 / F1 Consensus,F1 Consensus Est.,F0 Consensus Est.,% Ratio of Q1/Q0,% Ratio of Q1/prior Yr Q1 Actual Q(-3),% Change Q2 Est. (4 weeks),% Change Q1 Est. (4 weeks),Q0 Consensus Est. (last completed fiscal Qtr),St. Dev. Q1 / Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,Cash Flow ,Exchange,
AMER AIRLINES,AAL,-1834,6397,1012,1560,,26.97299,,,-.07,,14323,13806,-2180,-1324,-304,9099,26743,5.67,-2731,0,15353,6.95,13.17,.2,3.24,1.58,75,0,119,10,0,25,0,13.29,3.37,5.97,7.23,,11287.54687,43154.18359,,7.6,6.15,6.49,0,,3155.25878,,,,,,,35.55,47.3,56.16,3.08,24.78,1.8,39.43,44.55,74.1,-6.48,-5.26,,,-52.8,6.6,0,1.01,,,,,2.2388,.06528,5.46,2.63,90.91,,.21,2.35,1.94,.07,1.18,.17,2264,NSDQ,
APPLIED OPTOELE,AAOI,-1.4,1.80999,19.6,22.07999,,4.61329,,,-.02,,77.93,39.04999,-1.4,-.28001,3.11999,55.38999,78.42,7.68,63.06999,0,8.92,2.36,93.82,1.5,0,1,100,0,69,1,0,0,0,0,0,12.55,29.54,,36.867,131.27499,,23.66,0,0,0,,89.30139,,,,,,,19.67,14.81,20.72,-4.63,9.96,.21,18.12,27.42,46.74,-14.93,-22.06,,9.09,713.33,1.44,0,0,,,,,-48.93617,.09827,.61,.05,,,0,0,.05,.07,.32,.18,2.43899,NSDQ,
AAON INC,AAON,37.54,0,32.13999,40.13,1.4937,6.9671,7.17959,12.17,.12,3.26,113.62,36.31999,56.29,56.29,69.38999,231.33999,321.14,3.13,164.1,0,0,6.29,22.08,,0,3,0,0,,,0,100,0,,,,,27.29,,,7.35,5.95,,,0,1.27,,13.954,18.17,19.627,24.73,24.73,7.26,,-11.81,-7.75,-2.4,14.27,,19.65,22.96,61.9,-4.98,-14.42,34,31.08,,,.11111,.88,3.6716,1.18,,34,36.80757,,,,,,,,.14,,,,49.047,NSDQ,
APPLE INC,AAPL,37037,5756,1764,20641,.82791,60.06,9.0774,21.64,.22,3.25,73286,43658,50155,50155,56912,106606,170910,20.06,123549,0,16960,4.79,13.96,1.18,2.96,1.58,77.78,0,111,1,0,22.22,0,.78,.27,13.79,15.23,15.53,39304.00781,180288.42187,38.22,9.2,.82,1.14,0,.88,25202.77734,22.704,17.92,34.618,26.85,31.2,40.94,12.9,14.2,19.94,14.44,64.3,1.28,96.13,99.02,91.68,-.93,2.23,2.14,-9.96,11.16,6.97,1.6286,1.96,,.86,-4.95312,2.14,-11.25249,.00703,6.31,5.63,100.3,108.81,1.29,-3.25,1.22,.04,2.32,.05,43794,NSDQ,
ATLAS AIR WORLD,AAWW,93.83,33.84999,0,132.14999,.45149,,13.168,6.07,.06,.47,593.95001,417.14001,117.81999,199.11999,291.89999,410.35,1656.9,52.92,1322.11999,0,1539.13,.61,4.23,,0,2.45,33.33,16.67,129,7,0,50,0,,0,9.47,10.22,8.28,408.70001,1648.11499,10.02,.66,0,0,0,1.78,269.39364,5.0198,2.5,6.59999,3.57,7.39,.76,,-20.39,-22.16,-10.48,30.13,.81,32.03,49.64,9.74,-10.56,-14.9,-27.81,-20.92,-17.11,3.38,0,0,,0,-40.43712,-27.81,-27.77864,.04015,3.13,3.5,128.04,71.39,0,0,.5,.07,1.38,.05,189.55499,NSDQ,
ABAXIS INC,ABAX,14.18,1.62,26.96999,28.82999,.81646,3.2392,5.6085,8.9,.08,5.99,165.41,16.86,21.94,21.94,29.88999,88.76,171.87,8.78,193.91,0,.57999,5.35,47.22,2.99,6.25,3,0,0,26,74,-.2,100,0,-9.09,4.96,42.42,49.87,67.11,49.97299,200.488,10.76,-7.61,0,.68,0,.98,211.01535,8.02159,7.26,9.0677,8.2,8.22,6.89,16.67,13.44,17.41,17.66,32.4,.22,46.98,47.87,94.25,11.64,4.12,-43.68,-48.78,49.52,1.11,0,.21,,.01,-48.34116,-43.68,-48.34245,.09506,.94,.66,104.76,122.22,-5.56,3.13,.19,.04,.23,.07,22.135,NSDQ,
AMERIS BANCORP,ABCB,20.01,41.04999,67.26999,2435.06005,.05785,.13313,.08201,14.63,.12,2.83,2770.28002,3082.73999,29.29999,31.03,37.38,8.39999,172.87,11.92,288.69,28,250.02999,1.82,17.26,,20,1.6,80,0,149,17,-.15,20,0,,1.08,10.87,13.2,19.85,57.83,214.033,2.94,-7.73,0,-2.21,0,1.11,136.1751,.27281,.85,2.2962,6.4,9.92,50.66,,-.95,2.51,7.13,17.69,.44,21.64,24,62.6,2.75,-3.48,32.35,210.34,82.22,1.99,0,.92,,.18,60.80112,32.35,38.66943,.0217,1.64,1,138.28,170.19,-2.06,-3.8,.4,.03,.47,.05,29.96999,NSDQ,
ADVISORY BOARD,ABCO,24.75,163.16999,0,447.89001,.52594,,1.23409,6.47,.05,3.23,506.20001,566.10998,49.88999,49.88999,82.97,272.51998,520.6,9.33,337.04998,0,0,5.11,25.78,3.04,0,1.62,76.92,0,,,0,23.08,0,0,0,43.7,52.92,54.13,147.13699,597.70001,21.52,15.47,0,0,0,-.16,348.67068,4.63119,3.23,15.21399,10.71,10.19,15.39,17.4,-24.61,-25.19,-7.1,47.28,.21,47.63,69.55,1.57,-7.94,-8.81,-18.77,-8.08,-1.1,1.09,0,0,,0,11.68614,-18.77,5.76923,.05555,.9,.87,101.9,93.04,0,0,.19,.06,.22,.11,66.78099,NSDQ,
ALCENTRA CAPITL,ABDC,,,,,,,,,,,,,,,,,,,,,,,,,11.11,2,50,0,142,20,0,50,0,,0,9.37,13.94,,5.91029,16.867,,,0,0,0,,43.55853,,,,,,,,,,,12.89,.34,12.89,15.05,0,-6.53,-14.07,,,,1.38,0,5.52,,,,,,.11251,.93,,,,0,0,.25,.04,.34,0,,NSDQ,
ARCA BIOPHARMA,ABIO,-6.93,0,0,0,,,,,,,16.92,1.5,-6.93,-6.92601,-6.90601,0,,1.03,15.57999,0,0,1.38,,,0,1,100,0,12,34,0,0,0,,-9.28,,,,,,,,0,-2.83,0,2.28,14.9178,-66.26101,-41.49,-76.976,-43.77,-43.77,,,-18.52,-15.48,-2.07,1.31,-.15,1.42,2.26,11.58,-1.39,-11.8,-107.67,55.7,43.32,-.55,0,0,,0,,-107.67,-60.41666,-.10674,-.53,-.94,,23.08,0,0,-.13,,-.16,,-6.91,NSDQ,
