Company Name,Ticker,% Ratio of Q1/Q0,% Change Q1 Est. (4 weeks),% Change F1 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),Previous EPS Surprise (%),Last EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Reported Qtr ,Last Yr's EPS (F0) Before NRI,% Change Q2 Est. (4 weeks),% Change Q0 Est. (4 weeks),F1 Consensus Est.,This Yr`s Est.d Growth (F(1)/F(0)),Last Yrs Growth (F[0] / F [-1]),% Change EPS (F(-1)/F(-2)),Long-Term Growth Consensus Est.,5 Yr. Hist. EPS Growth,Q0 Consensus Est. (last completed fiscal Qtr),Q1 Consensus Est. ,St. Dev. Q1 / Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,F0 Consensus Est.,Last Reported Fiscal Yr ,12 Mo Trailing EPS,% Rating Strong Buy or Buy,52 Week High,52 Week Low,Price as a % of 52 Wk H-L Range,Beta,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),% Price Change (YTD),Relative Price Change,Avg Volume,Market Cap ,Last Close,Average Target Price,% Rating Downgrades ,Earnings ESP (Expected Surprise Prediction),Current Avg Broker Rec,% Rating Strong Sell or Sell,% Rating Change - 4 Weeks,Industry Rank (of ABR),Rank in Industry (of ABR),Change in Avg Rec ,# Rating Upgrades,# Rating Downgrades ,% Rating Hold,% Rating Upgrades ,Shares Outstanding ,Debt/Total Capital,Inventory ,Receivables ,Current Liabilities ,Asset Utilization,Inventory Turnover,Turnover,Operating Margin 12 Mo,Net Margin,Dividend ,5 Yr Hist. Div. Growth %,5 Yr Div. Yield %,Intangibles,Current Assets ,Q(1) Consensus Sales Est. (Mil.),Debt/Equity Ratio,Current Ratio,Quick Ratio,Cash Ratio,Long Term Debt ,Preferred Equity,Sales Growth F(0)/F(-1),Common Equity,F(1) Consensus Sales Est. (Mil.),Book Value,Div. Yield %,Annual Sales,Current ROE (TTM),Price/Sales,Price/Book,Price/Cash Flow,P/E (F2),PEG Ratio,P/E (F1),P/E (Trailing 12 Months),5 Yr Historical Sales Growth,St. Dev. F1 / F1 Consensus,F2 Consensus Est.,Current ROI (TTM),ROI (5 Yr Avg),Current ROA (TTM),Cost of Goods Sold,EBITDA ,EBIT ,12 Mo. Net Income Current-1Q/Last-1Q %,12 Mo. Net Income Current/Last %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,Pretax Income ,Market Value/# Analysts,ROA (5 Yr Avg),% Ratio of Q1/prior Yr Q1 Actual Q(-3),Exchange,# of Analysts in Q0 Consensus,
AMER AIRLINES,AAL,90.91,2.35,3.59,6.01,13.29,8,2.06,,1.98,1.98,20140601,11.56,.96,6.41,5.46,-52.8,,,35.55,,1.94,1.8,.07,1.18,.17,2.63,20131231,,75,44.55,24.78,62.72,,-4.3,-13.17,-2.64,47.25,41.3,10251549,26776.89,37.18,50.38,0,1.11,1.58,0,3.24,114,10,0,0,0,25,0,720.2,78.819,1012,1560,13806,,26.97299,,,-.07,0,,,6397,14323,11287.54687,3.72,.99,.96,.85115,15353,0,7.6,-2731,43154.18359,5.67,1.08,26743,,,6.55,12.42,5.63,.19,6.81,,,.06528,6.6,,,,9099,-304,-1324,,,2.2388,2264,-1834,-2180,2975.20971,,,NSDQ,9,
APPLIED OPTOELE,AAOI,,-3.13,-1.09,0,0,,-160,,.02999,.03,20140301,-.1,0,0,.61,706.67,9.09,,19.67,,.05,.21,.03,.32,.18,.05,20131231,,100,27.42,9.96,47.19,,1.11,-19.79,.28,21.25,22.85,205022.66,269.09,18.2,28,0,,1,0,0,60,1,0,0,0,0,0,14.78,3.3903,19.6,22.07999,39.04999,,4.61329,,,-.02,0,,,1.80999,77.93,36.867,,2.87,1.49,.92829,8.92,0,23.66,63.06999,130.94999,7.68,0,78.42,,,2.37,94.24,12.61,1.53,30,,,.09935,1.44,,,,55.38999,3.11999,-.28001,,,-48.93617,2.43899,-1.4,-1.4,89.69567,,,NSDQ,3,
AAON INC,AAON,,,,,,,7.69,,.2,.2,20140601,.65,,,,,31.08,20.18,,7.26,.14,,,,,,20131231,.7,0,22.96,15.33,51.49,1.27,-1.83,-11.16,-3.31,-9.58,-14.07,156618.42,1057.93,19.26,,0,,3,0,0,,,0,0,0,100,0,54.93,0,32.13999,40.13,36.31999,1.4937,6.86689,7.17959,12.17,.12,.11111,3.6716,1.18,0,113.62,,,2.86,2.24,1.13849,0,0,5.95,164.1,,3.13,.9,321.14,23.36,3.19,6.16,21.65,,,,27.51,7.35,,,24.73,19.627,17.43,231.33999,69.38999,56.29,33.9984,20.18,36.80757,49.047,37.54,56.29,,13.954,,NSDQ,1,
APPLE INC,AAPL,100.3,-3.25,.27,1.14,.78,13.81,4.92,6.71,1.27999,1.28,20140601,5.68,1.29,.82,6.31,11.16,-9.96,2.14,12.9,40.94,1.22,1.28,.04,2.32,.05,5.63,20130930,6.19,77.78,99.02,64.3,87.67,.88,-.9,-.31,12.63,18.21,14.11,48884456,571282.19,94.74,106.83,0,-.78,1.58,0,2.96,138,1,.02,0,0,22.22,0,6030,19.357,1764,20641,43658,.82791,60.06,9.0774,21.64,.22,1.6286,,.86,5756,73286,39304.00781,.24,1.47,1.64,1.16544,16960,0,9.2,123549,180288.42187,20.06,1.98,170910,31.2,3.21,4.72,13.76,13.59,1.16,15.01,15.3,38.22,.00703,6.97,26.85,34.618,17.92,106606,56912,50155,-4.95312,2.14,-11.25249,43794,37037,50155,24838.35546,22.704,108.81,NSDQ,20,
ATLAS AIR WORLD,AAWW,126.98,-.83,1.06,0,,246.15,26,73.33,.62999,.63,20140601,3.78,-7.23,0,3.17,-16.22,-20.92,-27.81,,-1.48,.5,.8,.07,1.28,.07,3.5,20131231,3.87,33.33,49.64,30.13,15.02,1.78,-3.39,-5.03,-9.4,-19.66,-23.93,296974.75,834.17,33.06,35.4,0,0,2.45,16.67,0,78,7,0,0,0,50,0,25.23,58.06499,0,132.14999,417.14001,.44106,,12.272,5.68,.06,0,,0,33.84999,593.95001,439,1.38,1.12,1.42,1.10706,1539.13,0,.66,1322.11999,1772.56994,53.72,0,1656.9,7.39,.48,.62,4.37,9.77,,10.44,8.54,10.67,.04558,3.38,3.23,6.43149,2.5,410.35,291.89999,199.11999,-40.43712,-27.81,-27.77864,189.55499,93.83,117.81999,278.05667,4.8941,70.8,NSDQ,3,
ABAXIS INC,ABAX,104.76,3.13,4.96,.68,-9.09,-15,10.53,-12.71,.20999,.21,20140601,.63,-5.56,0,.94,49.52,-48.78,-43.68,16.67,6.89,.19,.22,.04,.23,.07,.66,20140331,.7,0,47.87,32.4,85.2,.98,-3.86,4.88,5,13.92,10.19,226196.5,1023.64,45.58,44.17,0,0,3,0,6.25,22,69,-.2,0,0,100,0,22.46,.27827,26.96999,28.82999,16.86,.81646,3.2392,5.6085,8.9,.08,0,,.01,1.62,165.41,49.97299,0,7.46,8.21,6.50118,.57999,0,-7.61,193.91,200.488,8.78,.22,171.87,8.22,5.81,5.19,45.81,41.16,2.9,48.39,65.11,10.76,.09506,1.11,8.2,9.0677,7.26,88.76,29.88999,21.94,-48.34116,-43.68,-48.34245,22.135,14.18,21.94,204.72714,8.02159,122.22,NSDQ,4,
AMERIS BANCORP,ABCB,138.28,-3.8,1.08,-2.21,,-3.03,-20,-16.38,.31999,.32,20140601,.9,-2.06,0,1.64,82.22,210.34,32.35,,50.66,.4,.44,.03,.47,.05,1,20131231,1.09,80,24,17.69,66.09,1.12,.09,1.58,9.9,3.55,-.91,70944.85,550.24,21.86,26.8,0,2.27,1.6,0,20,148,16,0,0,0,20,0,25.17,27.76099,67.26999,2435.06005,3082.73999,.05785,.13313,.08201,14.63,.12,0,,.18,41.04999,2770.28002,57.83,,.88,.88,.08691,250.02999,28,-7.73,288.69,214.033,11.92,.91,172.87,9.92,2.86,1.83,17.44,10.98,,13.33,20.06,2.94,.0217,1.99,6.4,2.2962,.85,8.39999,37.38,31.03,60.80112,32.35,38.66943,29.96999,20.01,29.29999,137.5595,.27281,170.19,NSDQ,4,
ADVISORY BOARD,ABCO,99.05,-2.8,1.11,1.83,0,13.04,10.53,1.35,.20999,.21,20140601,.91,-1.79,0,.91,0,-8.08,-18.77,17.4,14.67,.19,.21,.05,.22,.09,.87,20140331,.88,76.92,69.55,46.89,9.4,-.16,-2.23,-3.6,-2.27,-23.01,-25.71,244461.5,1794.23,49.02,64.2,0,-4.76,1.62,0,0,,,0,0,0,23.08,0,36.6,.02965,0,447.89001,566.10998,.53039,,1.24409,6.1,.05,0,,0,163.16999,506.20001,146.68099,,.89,.89,.103,0,0,15.47,337.04998,598.289,9.33,0,520.6,10.19,3.33,5.26,26.53,44.16,3.1,53.87,55.7,21.78,.03885,1.11,10.19,14.963,3.23,272.51998,82.97,49.88999,11.68614,-18.77,5.76923,66.78099,24.75,49.88999,358.846,4.56139,90.43,NSDQ,5,
ALCENTRA CAPITL,ABDC,,0,0,0,,,,,,,,,0,0,.93,,,,,,.25,.34,.04,.34,0,,20131231,,50,15.05,12.57,3.63,,-3.73,-9.57,-15.15,,,89211,171.13,12.66,15.25,0,,2,0,11.11,142,20,0,0,0,50,0,13.52,0,,,,,,,,,0,,,,,5.8203,,.32,,,,,,,16.624,,5.62,,,,,,9.21,,13.69,,,.11251,1.38,,,,,,,,,,,,,42.7813,,,NSDQ,4,
ARCA BIOPHARMA,ABIO,,0,-9.28,-2.83,,,-8.33,,-.13,-.13,20140301,-1.94,0,0,-.53,43.32,55.7,-107.67,,,-.13,-.15,,-.16,,-.94,20131231,-1.46,100,2.26,1.31,7.37,2.28,-3.49,-7.38,-.72,-17.86,-19.34,134952.95,29,1.38,3.38,0,,1,0,0,12,35,0,0,0,0,0,21.01,0,0,0,1.5,,,,,,0,,0,0,16.92,,,19.46,11.28,11.27999,0,0,,15.57999,,1.03,0,,-43.77,,1.34,,,,,,,-.10674,-.55,-43.77,-76.976,-41.49,0,-6.90601,-6.92601,,-107.67,-60.41666,-6.91,-6.93,-6.93,14.49759,-66.26101,23.08,NSDQ,1,
